game_number,server_name,scores,num_players,map,name,Age
0,Dummy,0,2,sample.json,Age2,2.0
0,ConnectClosestMinesAi,30,2,sample.json,Age0,0.0
1,Dummy,98,2,Sierpinski-triangle.json,Age2,2.0
1,GreedyAi,1611,2,Sierpinski-triangle.json,Age1,1.0
2,GreedyAi,25,2,sample.json,Age1,1.0
2,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
3,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
3,GreedyAi,25,2,sample.json,Age1,1.0
4,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
4,ConnectClosestMinesAi,1681,2,Sierpinski-triangle.json,Age0,0.0
5,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
5,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
6,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
6,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
7,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
7,GreedyAi,1737,2,Sierpinski-triangle.json,Age1,1.0
8,GreedyAi,25,2,sample.json,Age1,1.0
8,Dummy,20,2,sample.json,Age2,2.0
9,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
9,Dummy,20,2,sample.json,Age2,2.0
10,Dummy,20,2,sample.json,Age2,2.0
10,ConnectClosestMinesAi,25,2,sample.json,Age0,0.0
11,Dummy,390,2,Sierpinski-triangle.json,Age2,2.0
11,ConnectClosestMinesAi,1438,2,Sierpinski-triangle.json,Age0,0.0
12,GreedyAi,25,2,sample.json,Age1,1.0
12,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
13,GreedyAi,25,2,sample.json,Age1,1.0
13,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
14,GreedyAi,25,2,sample.json,Age1,1.0
14,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
15,Dummy,142,2,Sierpinski-triangle.json,Age2,2.0
15,ConnectClosestMinesAi,1653,2,Sierpinski-triangle.json,Age0,0.0
16,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
16,ConnectClosestMinesAi,1688,2,Sierpinski-triangle.json,Age0,0.0
17,GreedyAi,25,2,sample.json,Age1,1.0
17,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
18,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
18,ConnectClosestMinesAi,1737,2,Sierpinski-triangle.json,Age0,0.0
19,Dummy,20,2,sample.json,Age2,2.0
19,ConnectClosestMinesAi,25,2,sample.json,Age0,0.0
20,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
20,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
21,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
21,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
22,GreedyAi,25,2,sample.json,Age1,1.0
22,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
23,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
23,GreedyAi,25,2,sample.json,Age1,1.0
24,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
24,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
25,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
25,GreedyAi,25,2,sample.json,Age1,1.0
26,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
26,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
27,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
27,GreedyAi,25,2,sample.json,Age1,1.0
28,ConnectClosestMinesAi,22,2,sample.json,Age0,0.0
28,Dummy,8,2,sample.json,Age2,2.0
29,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
29,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
30,GreedyAi,25,2,sample.json,Age1,1.0
30,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
31,ConnectClosestMinesAi,1688,2,Sierpinski-triangle.json,Age0,0.0
31,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
32,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
32,GreedyAi,25,2,sample.json,Age1,1.0
33,GreedyAi,27,2,sample.json,Age1,1.0
33,Dummy,22,2,sample.json,Age2,2.0
34,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
34,Dummy,20,2,sample.json,Age2,2.0
35,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
35,GreedyAi,1737,2,Sierpinski-triangle.json,Age1,1.0
36,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
36,GreedyAi,1786,2,Sierpinski-triangle.json,Age1,1.0
37,ConnectClosestMinesAi,1737,2,Sierpinski-triangle.json,Age0,0.0
37,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
38,Dummy,0,2,sample.json,Age2,2.0
38,GreedyAi,30,2,sample.json,Age1,1.0
39,GreedyAi,25,2,sample.json,Age1,1.0
39,Dummy,20,2,sample.json,Age2,2.0
40,Dummy,27,2,sample.json,Age2,2.0
40,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
41,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
41,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
42,GreedyAi,25,2,sample.json,Age1,1.0
42,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
43,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
43,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
44,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
44,GreedyAi,25,2,sample.json,Age1,1.0
45,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
45,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
46,Dummy,25,2,sample.json,Age2,2.0
46,ConnectClosestMinesAi,25,2,sample.json,Age0,0.0
47,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
47,GreedyAi,25,2,sample.json,Age1,1.0
48,Dummy,202,2,Sierpinski-triangle.json,Age2,2.0
48,ConnectClosestMinesAi,1290,2,Sierpinski-triangle.json,Age0,0.0
49,Dummy,27,2,sample.json,Age2,2.0
49,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
50,Dummy,27,2,sample.json,Age2,2.0
50,GreedyAi,30,2,sample.json,Age1,1.0
51,GreedyAi,25,2,sample.json,Age1,1.0
51,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
52,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
52,GreedyAi,25,2,sample.json,Age1,1.0
53,Dummy,27,2,sample.json,Age2,2.0
53,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
54,ConnectClosestMinesAi,30,2,sample.json,Age0,0.0
54,Dummy,0,2,sample.json,Age2,2.0
55,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
55,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
56,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
56,Dummy,27,2,sample.json,Age2,2.0
57,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
57,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
58,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
58,GreedyAi,2148,2,Sierpinski-triangle.json,Age1,1.0
59,GreedyAi,765,2,Sierpinski-triangle.json,Age1,1.0
59,Dummy,813,2,Sierpinski-triangle.json,Age2,2.0
60,ConnectClosestMinesAi,2253,2,Sierpinski-triangle.json,Age0,0.0
60,Dummy,3,2,Sierpinski-triangle.json,Age2,2.0
61,GreedyAi,27,2,sample.json,Age1,1.0
61,Dummy,22,2,sample.json,Age2,2.0
62,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
62,GreedyAi,1688,2,Sierpinski-triangle.json,Age1,1.0
63,Dummy,1744,2,Sierpinski-triangle.json,Age2,2.0
63,GreedyAi,2076,2,Sierpinski-triangle.json,Age1,1.0
64,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
64,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
65,Dummy,27,2,sample.json,Age2,2.0
65,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
66,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
66,GreedyAi,25,2,sample.json,Age1,1.0
67,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
67,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
68,ConnectClosestMinesAi,957,2,Sierpinski-triangle.json,Age0,0.0
68,Dummy,123,2,Sierpinski-triangle.json,Age2,2.0
69,Dummy,25,2,sample.json,Age2,2.0
69,GreedyAi,25,2,sample.json,Age1,1.0
70,Dummy,8,2,sample.json,Age2,2.0
70,GreedyAi,8,2,sample.json,Age1,1.0
71,GreedyAi,25,2,sample.json,Age1,1.0
71,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
72,GreedyAi,27,2,sample.json,Age1,1.0
72,Dummy,27,2,sample.json,Age2,2.0
73,Dummy,22,2,sample.json,Age2,2.0
73,GreedyAi,25,2,sample.json,Age1,1.0
74,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
74,Dummy,27,2,sample.json,Age2,2.0
75,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
75,ConnectClosestMinesAi,2218,2,Sierpinski-triangle.json,Age0,0.0
76,GreedyAi,866,2,Sierpinski-triangle.json,Age1,1.0
76,Dummy,346,2,Sierpinski-triangle.json,Age2,2.0
77,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
77,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
78,ConnectClosestMinesAi,1681,2,Sierpinski-triangle.json,Age0,0.0
78,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
79,GreedyAi,25,2,sample.json,Age1,1.0
79,Dummy,20,2,sample.json,Age2,2.0
80,ConnectClosestMinesAi,1688,2,Sierpinski-triangle.json,Age0,0.0
80,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
81,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
81,Dummy,27,2,sample.json,Age2,2.0
82,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
82,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
83,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
83,ConnectClosestMinesAi,1688,2,Sierpinski-triangle.json,Age0,0.0
84,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
84,GreedyAi,25,2,sample.json,Age1,1.0
85,ConnectClosestMinesAi,1737,2,Sierpinski-triangle.json,Age0,0.0
85,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
86,GreedyAi,30,2,sample.json,Age1,1.0
86,Dummy,0,2,sample.json,Age2,2.0
87,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
87,GreedyAi,1737,2,Sierpinski-triangle.json,Age1,1.0
88,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
88,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
89,GreedyAi,27,2,sample.json,Age1,1.0
89,Dummy,15,2,sample.json,Age2,2.0
90,ConnectClosestMinesAi,2253,2,Sierpinski-triangle.json,Age0,0.0
90,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
91,GreedyAi,2253,2,Sierpinski-triangle.json,Age1,1.0
91,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
92,Dummy,0,2,sample.json,Age2,2.0
92,ConnectClosestMinesAi,30,2,sample.json,Age0,0.0
93,Dummy,8,2,sample.json,Age2,2.0
93,ConnectClosestMinesAi,22,2,sample.json,Age0,0.0
94,ConnectClosestMinesAi,957,2,Sierpinski-triangle.json,Age0,0.0
94,Dummy,108,2,Sierpinski-triangle.json,Age2,2.0
95,Dummy,20,2,sample.json,Age2,2.0
95,GreedyAi,25,2,sample.json,Age1,1.0
96,GreedyAi,25,2,sample.json,Age1,1.0
96,Dummy,20,2,sample.json,Age2,2.0
97,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
97,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
98,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
98,ConnectClosestMinesAi,1688,2,Sierpinski-triangle.json,Age0,0.0
99,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
99,ConnectClosestMinesAi,1681,2,Sierpinski-triangle.json,Age0,0.0
100,GreedyAi,2104,2,Sierpinski-triangle.json,Age1,1.0
100,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
101,ConnectClosestMinesAi,30,2,sample.json,Age0,0.0
101,Dummy,25,2,sample.json,Age2,2.0
102,GreedyAi,2253,2,Sierpinski-triangle.json,Age1,1.0
102,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
103,Dummy,0,2,sample.json,Age2,2.0
103,GreedyAi,30,2,sample.json,Age1,1.0
104,Dummy,22,2,sample.json,Age2,2.0
104,GreedyAi,25,2,sample.json,Age1,1.0
105,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
105,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
106,GreedyAi,2253,2,Sierpinski-triangle.json,Age1,1.0
106,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
107,Dummy,22,2,sample.json,Age2,2.0
107,GreedyAi,25,2,sample.json,Age1,1.0
108,Dummy,845,2,Sierpinski-triangle.json,Age2,2.0
108,GreedyAi,725,2,Sierpinski-triangle.json,Age1,1.0
109,ConnectClosestMinesAi,1879,2,Sierpinski-triangle.json,Age0,0.0
109,GreedyAi,2071,2,Sierpinski-triangle.json,Age1,1.0
110,GreedyAi,1786,2,Sierpinski-triangle.json,Age1,1.0
110,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
111,ConnectClosestMinesAi,30,2,sample.json,Age0,0.0
111,Dummy,0,2,sample.json,Age2,2.0
112,ConnectClosestMinesAi,27,2,sample.json,Age0,0.0
112,Dummy,27,2,sample.json,Age2,2.0
113,Dummy,0,2,sample.json,Age2,2.0
113,GreedyAi,30,2,sample.json,Age1,1.0
114,GreedyAi,27,2,sample.json,Age1,1.0
114,Dummy,15,2,sample.json,Age2,2.0
115,ConnectClosestMinesAi,1786,2,Sierpinski-triangle.json,Age0,0.0
115,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
116,Dummy,0,2,Sierpinski-triangle.json,Age2,2.0
116,GreedyAi,2104,2,Sierpinski-triangle.json,Age1,1.0
117,GreedyAi,2002,2,Sierpinski-triangle.json,Age1,1.0
117,Dummy,44,2,Sierpinski-triangle.json,Age2,2.0
118,GreedyAi,1788,2,Sierpinski-triangle.json,Age1,1.0
118,Dummy,148,2,Sierpinski-triangle.json,Age2,2.0
119,GreedyAi,815,2,Sierpinski-triangle.json,Age1,1.0
119,Dummy,542,2,Sierpinski-triangle.json,Age2,2.0
