Param,rank
-0.2,0
-0.4,0
-0.8,0
-0.2,0
-0.6000000000000001,0
-0.4,0
-0.2,0
-0.4,0
-0.8,0
-0.2,0
-0.6000000000000001,0
-0.4,0
-0.2,0
-0.4,0
-0.6000000000000001,0
-0.2,0
-0.4000000000000001,0
-0.20000000000000007,0
-0.2,0
-0.4000000000000001,0
-0.6000000000000001,0
-0.20000000000000007,0
-0.4,0
-0.19999999999999996,0
-0.4,0
-0.6000000000000001,0
-0.8,-12
-0.20000000000000007,0
-0.4,-12
-0.19999999999999996,-12
-0.2,0
-0.6000000000000001,0
-0.8,0
-0.4000000000000001,0
-0.6000000000000001,0
-0.19999999999999996,0
-0.2,0
-0.6000000000000001,0
-0.8,0
-0.4000000000000001,0
-0.6000000000000001,0
-0.19999999999999996,0
-0.2,0
-0.4,0
-0.6000000000000001,0
-0.2,0
-0.4000000000000001,0
-0.20000000000000007,0
-0.4,0
-0.6000000000000001,0
-0.8,0
-0.20000000000000007,0
-0.4,0
-0.19999999999999996,0
-0.2,0
-0.4000000000000001,0
-0.6000000000000001,0
-0.20000000000000007,0
-0.4,0
-0.19999999999999996,0
-0.2,0
-0.6000000000000001,0
-0.8,0
-0.4000000000000001,0
-0.6000000000000001,0
-0.19999999999999996,0
-0.2,0
-0.4,0
-0.6000000000000001,0
-0.2,0
-0.4000000000000001,0
-0.20000000000000007,0
-0.2,0
-0.4,0
-0.8,0
-0.2,0
-0.6000000000000001,0
-0.4,0
-0.2,0
-0.6000000000000001,0
-0.8,0
-0.4000000000000001,0
-0.6000000000000001,0
-0.19999999999999996,0
-0.2,0
-0.6000000000000001,0
-0.8,-12
-0.4000000000000001,0
-0.6000000000000001,-12
-0.19999999999999996,-12
-0.4,0
-0.6000000000000001,0
-0.8,-12
-0.20000000000000007,0
-0.4,-12
-0.19999999999999996,-12
-0.4,0
-0.6000000000000001,0
-0.8,0
-0.20000000000000007,0
-0.4,0
-0.19999999999999996,0
-0.2,0
-0.4,0
-0.6000000000000001,0
-0.2,0
-0.4000000000000001,0
-0.20000000000000007,0
-0.2,0
-0.4,0
-0.8,0
-0.2,0
-0.6000000000000001,0
-0.4,0
-0.2,0
-0.4,0
-0.6000000000000001,0
-0.2,0
-0.4000000000000001,0
-0.20000000000000007,0
-0.2,0
-0.4,0
-0.8,0
-0.2,0
-0.6000000000000001,0
-0.4,0
-0.2,0
-0.4000000000000001,0
-0.6000000000000001,0
-0.20000000000000007,0
-0.4,0
-0.19999999999999996,0
-0.2,0
-0.4,0
-0.8,-12
-0.2,0
-0.6000000000000001,-12
-0.4,-12
-0.4,0
-0.6000000000000001,0
-0.8,0
-0.20000000000000007,0
-0.4,0
-0.19999999999999996,0
-0.4,0
-0.6000000000000001,0
-0.8,0
-0.20000000000000007,0
-0.4,0
-0.19999999999999996,0
-0.2,0
-0.6000000000000001,0
-0.8,-3
-0.4000000000000001,0
-0.6000000000000001,-3
-0.19999999999999996,-3
-0.2,0
-0.4000000000000001,0
-0.6000000000000001,-3
-0.20000000000000007,0
-0.4,-3
-0.19999999999999996,-3
-0.2,0
-0.6000000000000001,0
-0.8,-3
-0.4000000000000001,0
-0.6000000000000001,-3
-0.19999999999999996,-3
-0.2,0
-0.4000000000000001,0
-0.6000000000000001,-3
-0.20000000000000007,0
-0.4,-3
-0.19999999999999996,-3
-0.4,0
-0.6000000000000001,0
-0.8,-3
-0.20000000000000007,0
-0.4,-3
-0.19999999999999996,-3
-0.2,-2
-0.4000000000000001,0
-0.6000000000000001,0
-0.20000000000000007,2
-0.4,2
-0.19999999999999996,0
-0.2,0
-0.4,0
-0.8,-3
-0.2,0
-0.6000000000000001,-3
-0.4,-3
-0.4,0
-0.6000000000000001,0
-0.8,-3
-0.20000000000000007,0
-0.4,-3
-0.19999999999999996,-3
-0.4,0
-0.6000000000000001,0
-0.8,-3
-0.20000000000000007,0
-0.4,-3
-0.19999999999999996,-3
-0.4,0
-0.6000000000000001,0
-0.8,-3
-0.20000000000000007,0
-0.4,-3
-0.19999999999999996,-3
-0.2,0
-0.4000000000000001,0
-0.6000000000000001,-3
-0.20000000000000007,0
-0.4,-3
-0.19999999999999996,-3
-0.2,0
-0.4000000000000001,0
-0.6000000000000001,-3
-0.20000000000000007,0
-0.4,-3
-0.19999999999999996,-3
-0.2,0
-0.4,0
-0.8,-3
-0.2,0
-0.6000000000000001,-3
-0.4,-3
-0.2,0
-0.4,0
-0.8,-3
-0.2,0
-0.6000000000000001,-3
-0.4,-3
-0.2,0
-0.4,0
-0.6000000000000001,0
-0.2,0
-0.4000000000000001,0
-0.20000000000000007,0
-0.2,-1
-0.6000000000000001,-2
-0.8,-1
-0.4000000000000001,-1
-0.6000000000000001,0
-0.19999999999999996,1
-0.2,0
-0.4,0
-0.6000000000000001,0
-0.2,0
-0.4000000000000001,0
-0.20000000000000007,0
-0.2,-1
-0.4,-2
-0.8,-1
-0.2,-1
-0.6000000000000001,0
-0.4,1
-0.2,0
-0.6000000000000001,0
-0.8,-3
-0.4000000000000001,0
-0.6000000000000001,-3
-0.19999999999999996,-3
-0.2,0
-0.4,0
-0.6000000000000001,0
-0.2,0
-0.4000000000000001,0
-0.20000000000000007,0
-0.2,0
-0.4000000000000001,0
-0.6000000000000001,-3
-0.20000000000000007,0
-0.4,-3
-0.19999999999999996,-3
-0.2,0
-0.6000000000000001,0
-0.8,-3
-0.4000000000000001,0
-0.6000000000000001,-3
-0.19999999999999996,-3
-0.2,-2
-0.4000000000000001,0
-0.6000000000000001,0
-0.20000000000000007,2
-0.4,2
-0.19999999999999996,0
-0.2,0
-0.4,0
-0.6000000000000001,0
-0.2,0
-0.4000000000000001,0
-0.20000000000000007,0
-0.2,0
-0.4,-2
-0.6000000000000001,-2
-0.2,-2
-0.4000000000000001,-2
-0.20000000000000007,0
